PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0,0.25,0.215278,0,0,0,0.0366162,0.498106,4,1,1.82702,0.0698052,1,1.56656,0.553391,0.182055,1
0.025,0,0.0232759,0,0,0,0.0551724,0.896552,4,1,2.9431,0.179775,1,2.39817,0.418071,0.243763,1
0.0241588,0,0.0232959,0,0,0,0.05522,0.897325,4,1,2.94478,0.179902,1,2.39916,0.418131,0.243967,1
0.0241581,0,0.0827233,0,0,0,0.0658858,0.827233,4,1,2.37408,0.157055,1,1.99018,0.455215,0.211023,1
0.0241379,0.00172414,0.0232759,0,0,0,0.0551724,0.89569,4,1,2.9431,0.179775,1,2.39817,0.418773,0.243763,1
0,0.231302,0.148892,0,0,0,0.00138504,0.618421,4,1,2.01524,0.117096,1,1.70433,0.516979,0.19931,1
0.0230312,0.188707,0.205795,0,0,0,0.00222883,0.580238,4,1,2.19911,0.0801242,1,1.83913,0.509731,0.209662,1
0.0224215,0.179372,0.19432,0,0,0,0.00298954,0.600897,4,1,2.24888,0.0873908,1,1.8789,0.50437,0.211077,1
0.0223048,0.188848,0.205204,0,0,0,0.00297398,0.580669,4,1,2.2,0.080174,1,1.83965,0.509426,0.209806,1
0,0.217643,0.215712,0,0,0,0.0476497,0.518995,4,1,1.88281,0.0709962,1,1.6098,0.550908,0.185423,1
0.0217391,0.175412,0.194153,0,0,0,0.00374813,0.604948,4,1,2.25637,0.0876095,1,1.88423,0.503546,0.211638,1
0.0217391,0,0.26087,0,0,0,0,0.717391,4,1,1.86957,0.0803571,1,1.54464,0.485119,0.331522,1
0,0.217228,0.197004,0,0,0,0.023221,0.562547,4,1,2.20824,0.0806754,1,1.84428,0.509068,0.211341,1
0,0.212916,0.214834,0,0,0,0.0517903,0.52046,4,1,1.84655,0.0705689,1,1.58042,0.41302,0.184398,1
0,0.212025,0.0727848,0,0,0,0.00632911,0.708861,4,1,2.55063,0.165803,1,2.09067,0.448187,0.267902,1
0.0211403,0,0.21909,0,0,0,0.0480461,0.711723,4,1,1.88149,0.0706849,1,1.60986,0.52895,0.188736,1
0,0.206349,0.189033,0,0,0,0.0483405,0.556277,4,1,2.03175,0.0787879,1,1.70727,0.519394,0.204401,1
0,0.195455,0.198485,0,0,0,0.025,0.581061,4,1,2.23864,0.0814394,1,1.86616,0.506524,0.21347,1
0,0.194366,0.211268,0,0,0,0.0140845,0.580282,4,1,2.04789,0.0870588,1,1.71294,0.510588,0.237304,1
0,0.194234,0.197269,0,0,0,0.0250379,0.58346,4,1,2.24355,0.0821745,1,1.86979,0.5059,0.213788,1
0,0.193062,0.197587,0,0,0,0.0248869,0.584465,4,1,2.22398,0.0811321,1,1.85535,0.507128,0.212584,1
0,0.191693,0.0702875,0,0,0,0.00958466,0.728435,4,1,2.59105,0.167102,1,2.1201,0.445605,0.269831,1
0,0.191273,0.192727,0,0,0,0.0465455,0.569455,4,1,2.05018,0.0793167,1,1.72056,0.517592,0.205859,1
0,0.189787,0.192073,0,0,0,0.0259146,0.592226,4,1,2.25838,0.0850254,1,1.88071,0.503807,0.214772,1
0,0.189616,0.195636,0,0,0,0.0248307,0.589917,4,1,2.21746,0.081607,1,1.8506,0.507219,0.212167,1
0,0.187821,0.195158,0,0,0,0.0447542,0.572267,4,1,2.09024,0.0799017,1,1.75169,0.517312,0.207536,1
0,0.186303,0.192194,0,0,0,0.0463918,0.57511,4,1,2.08689,0.0795314,1,1.74784,0.516235,0.208191,1
0,0.185158,0.19471,0,0,0,0.0455547,0.574578,4,1,2.09625,0.08,1,1.75631,0.516718,0.207816,1
0,0.178161,0.232759,0,0,0,0.00574713,0.583333,4,1,2.06034,0.0789474,1,1.7177,0.510367,0.240107,1
0,0.175,0.175,0,0,0,0,0.65,4,1,2.1625,0.14,1,1.74,0.45,0.34625,1
0,0.173881,0.182685,0,0,0,0.054292,0.589142,4,1,2.07997,0.0848187,1,1.74309,0.5126,0.207733,1
0.017331,0.000866551,0.0199307,0,0,0,0.0623917,0.89948,4,1,2.97747,0.180536,1,2.42384,0.416079,0.244945,1
0.017177,0.190441,0.203883,0,0,0,0.00821509,0.580284,4,1,2.20911,0.0804741,1,1.84591,0.50863,0.210673,1
