PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0.126361,0.183152,0.23805,0,0,0,0.0714624,0.380975,4,1,2.2319,0.0234346,0,1.72721,0.431832,0.0335556,0
0.123949,0.466862,0.321408,0,0,0,0.0304985,0.0572825,4,1,1.69267,0.0102411,0,1.36427,0.402434,0.0249491,0
0.123457,0.0493827,0.160494,0,0,0,0,0.666667,3,1,2.11111,0.0727273,0,1.56364,0.288636,0.158365,0
0.12282,0.431692,0.338187,0,0,0,0.0371719,0.0701284,3,1,1.71259,0.0146922,0,1.38246,0.397038,0.0248933,0
0.122707,0,0.137432,0,0,0,0.000258331,0.739602,4,1,2.22966,0.025182,0,1.69821,0.416158,0.0335334,0
0.122572,0.433372,0.333333,0,0,0,0.03885,0.0718726,4,1,1.70882,0.0103286,0,1.37684,0.321002,0.0253604,0
0.122431,0.384233,0.262254,0,0,0,0.0399819,0.1911,4,1,2.01559,0.0226019,0,1.58818,0.352376,0.0292982,0
0.122408,0.464868,0.313268,0,0,0,0.0118784,0.087578,4,1,1.74069,0.0163457,0,1.39942,0.390152,0.0258465,0
0.122318,0.212446,0.226395,0,0,0,0.00214592,0.436695,4,1,2.19528,0.0254098,0,1.67787,0.320287,0.045191,0
0.122295,0.168391,0.21731,0,0,0,0.0338664,0.458137,4,1,2.31985,0.023088,0,1.77994,0.417749,0.0402622,0
0.121756,0.169661,0.217565,0,0,0,0,0.491018,4,1,2.25349,0.0243902,0,1.72256,0.426321,0.0552572,0
0.121243,0,0.142129,0,0,0,0.00152827,0.735099,4,1,2.19307,0.0245041,0,1.67483,0.316122,0.0367204,0
0.120818,0.344556,0.264436,0,0,0,0.0413382,0.228851,4,1,2.09418,0.0213445,0,1.65193,0.351681,0.0277897,0
0.12078,0.427134,0.338645,0,0,0,0.0520025,0.0614385,3,1,1.69763,0.0112871,0,1.36405,0.397195,0.0276132,0
0.120676,0.456654,0.33374,0,0,0,0.0120065,0.0769231,4,1,1.69394,0.0162136,0,1.36341,0.395308,0.0265013,0
0.120471,0.373199,0.252292,0,0,0,0.0165866,0.237451,4,1,2.06635,0.0219629,0,1.62491,0.464081,0.0318701,0
0.12038,0.0485744,0.126716,0,0,0,0.00211193,0.702218,4,1,2.23126,0.0256,0,1.6912,0.390667,0.0430088,0
