PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0,0,0.168142,0,0,0,0.389381,0.442478,4,1,2.81121,0.0310078,1,2.46512,0.368648,0.476708,0
0.0177706,0,0.0718901,0,0,0,0.444265,0.466074,4,1,3.28271,0.0189538,1,3.08188,0.379328,0.522228,0
0.0148368,0.00148368,0.0875371,0,0,0,0.425816,0.470326,4,1,3.34125,0.0359613,1,3.11618,0.379899,0.538273,0
0.00984103,0.000757002,0.0582892,0,0,0,0.451173,0.479939,4,1,3.43982,0.0252525,1,3.27922,0.385522,0.540616,0
0,0,0.150649,0,0,0,0.405195,0.444156,4,1,2.88831,0.0251142,1,2.5411,0.362253,0.486988,0
0.0423862,0.00313972,0.0596546,0,0,0,0.433281,0.461538,4,1,3.41287,0.02855,1,3.26747,0.395192,0.550236,0
0,0,0.333333,0,0,0,0.222222,0.444444,4,1,2.55556,0.138889,1,1.94444,0.314815,0.555556,0
0.002,0.002,0.084,0,0,0,0.444,0.468,4,1,3.241,0.0195349,1,3.01581,0.385736,0.516293,0
0,0.0241935,0.258065,0,0,0,0.16129,0.556452,4,1,2.91935,0.198473,1,2.77099,0.506361,0.846774,0
0.0333904,0.00256849,0.0556507,0,0,0,0.436644,0.471747,4,1,3.49743,0.0345111,1,3.35744,0.386196,0.5607,0
0,0,0.465116,0,0,0,0.139535,0.395349,4,1,2.27907,0.0701754,1,1.73684,0.464912,0.418605,0
0.0535714,0.0107143,0.128571,0,0,0,0.335714,0.471429,4,1,3.16429,0.097973,1,2.99662,0.442568,0.660491,0
0.0303777,0.00492611,0.0574713,0,0,0,0.439245,0.46798,4,1,3.42611,0.0289969,1,3.27116,0.385319,0.549785,0
0.002693,0.000897666,0.0861759,0,0,0,0.438959,0.471275,4,1,3.25494,0.0218487,1,3.0479,0.386835,0.513784,0
0,0,0.207386,0,0,0,0.383523,0.409091,4,1,2.6392,0.0188235,1,2.18824,0.510588,0.431079,0
0.00353357,0,0.14841,0,0,0,0.404594,0.443463,4,1,2.83216,0.0187207,1,2.50234,0.367135,0.472839,0
